WAREHOUSENAME, STYLE, COLOR, SIZE, DESCRIPTION, UPCCODE, ACTUALQTY, PENDINGPICKING, AVAILABLE, ACCOUNTNAME
Bergen Logistics NJ2, 4B188, NAVY, US4/AU8, Scarlette Two Piece, 41423, 2, 0, 2, Fame & Partners Inc

Bergen Logistics NJ2, 4B190, black, US2/AU6, , 42620, 2, 0, 2, Fame & Partners Inc

Bergen Logistics NJ2, 4B190, BLACK, US6/AU10, Krista, 41171, 3, 0, 3, Fame & Partners Inc

Bergen Logistics NJ2, 4B284, LIGHT-PINK, US14/AU18, Tulle Belle, 40275, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B284B, LIGHT-PINK, US0/AU4, Tulle Dream, 40624, 4, 0, 4, Fame & Partners Inc

